Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.329 0.000606862 0.0879526 2.7e-07 1.22371 0.0513127 1.37e-07 1.27e-07 0.000692015
0.33 0.000606862 0.0879526 2.34e-07 1.21424 0.0487102 1.28e-07 1.84e-07 0.000692987
0.331 0.000606862 0.0879526 3.94e-07 1.21352 0.0490343 1.34e-07 1.8e-07 0.000693408
0.332 0.000606862 0.0879526 3.08e-07 1.21829 0.048832 1.27e-07 1.46e-07 0.000696549
0.333 0.000606862 0.0879526 2.64e-07 1.22026 0.0515522 1.32e-07 1.37e-07 0.000694579
0.334 0.000606862 0.0879526 3.43e-07 1.22438 0.0541379 1.4e-07 1.28e-07 0.000693168
0.335 0.000606862 0.0879526 3.16e-07 1.22329 0.0493713 1.82e-07 1.55e-07 0.000692899
0.336 0.000606862 0.0879526 3.1e-07 1.22707 0.0492278 1.45e-07 1.3e-07 0.000733833
0.337 0.000606862 0.0879526 2.97e-07 1.22433 0.049384 1.9e-07 1.31e-07 0.000694435
0.338 0.000606862 0.0879526 2.52e-07 1.22938 0.0493436 1.4e-07 1.86e-07 0.000692268
0.339 0.000606862 0.0879526 3.25e-07 1.23948 0.0499213 1.86e-07 1.35e-07 0.000692105
0.34 0.000606862 0.0879526 3.8e-07 1.24375 0.049783 1.37e-07 1.3e-07 0.000692183
0.341 0.000606862 0.0879526 3.71e-07 1.24231 0.0521335 1.83e-07 1.3e-07 0.000694136
0.342 0.000606862 0.0879526 3.24e-07 1.24373 0.0498516 1.37e-07 1.29e-07 0.000692768
0.343 0.000606862 0.0879526 2.61e-07 1.24366 0.0524427 1.32e-07 1.29e-07 0.000694715
0.344 0.000606862 0.0879526 3.8e-07 1.24488 0.0498933 1.27e-07 1.27e-07 0.000692444
0.345 0.000606862 0.0879526 3.42e-07 1.24845 0.049785 1.45e-07 1.44e-07 0.00069298
0.346 0.000606862 0.0879526 2.76e-07 1.25162 0.0499723 1.85e-07 1.39e-07 0.000693897
0.347 0.000606862 0.0879526 3.05e-07 1.2519 0.0502273 1.31e-07 1.9e-07 0.000692292
0.348 0.000606862 0.0879526 2.68e-07 1.25484 0.0500602 1.36e-07 1.53e-07 0.00069401
0.349 0.000606862 0.0879526 3.58e-07 1.26188 0.0529552 1.38e-07 1.27e-07 0.000692632
