Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.341 0.000796496 0.0952426 3.88e-07 2.94835 0.113658 1.36e-07 1.29e-07 0.000978711
0.342 0.000796496 0.0952426 3.66e-07 2.96978 0.114255 1.92e-07 1.41e-07 0.000979764
0.343 0.000796496 0.0952426 4.02e-07 2.96798 0.114201 1.29e-07 1.36e-07 0.000980049
0.344 0.000796496 0.0952426 3.12e-07 2.96747 0.114241 1.39e-07 1.27e-07 0.000982613
0.345 0.000796496 0.0952426 2.91e-07 2.97134 0.114411 1.45e-07 1.26e-07 0.000981789
0.346 0.000796496 0.0952426 3.79e-07 2.982 0.114402 1.36e-07 1.39e-07 0.000980796
0.347 0.000796496 0.0952426 4.06e-07 2.97621 0.114663 1.41e-07 1.3e-07 0.000980068
0.348 0.000796496 0.0952426 4.34e-07 2.97531 0.114585 1.38e-07 1.77e-07 0.000977305
0.349 0.000796496 0.0952426 3.92e-07 2.97549 0.114426 1.51e-07 1.3e-07 0.000980934
0.35 0.000796496 0.0952426 2.82e-07 2.97197 0.114642 1.45e-07 1.29e-07 0.000980851
0.351 0.000796496 0.0952426 3.24e-07 2.97351 0.114768 1.33e-07 1.28e-07 0.00097741
0.352 0.000796496 0.0952426 3.26e-07 2.97615 0.114667 1.44e-07 1.3e-07 0.000976513
